input_text,product,quantity,price_satuan,pattern
"pesan nasi goreng babi setengah porsi dan kailan daging ayam segelas porsi ya kak [SEP] siap kak, nasi goreng babi rp 58.000 dan kailan daging ayam 54rb, jadi total rp112rb ya",nasi goreng babi & kailan daging ayam,setengah & segelas,-1,4
pesen nasgor sei ayam nya tiga piring porsi [SEP] oke nasgor sei ayam nharga 74rb total 74rb ya kak,nasgor sei ayam,tiga piring,74000,3
setengah guri coffee latte pedes mampus ya kak [SEP] baik kak guri coffee latte 21.000 satuan totalnya 21 ribu,guri coffee latte,setengah,21000,2
bu mau pesen 6 boba pedes mampus dong [SEP] oke boba harga 39.000 total rp39rb ya kak,boba,6,39000,2
"mbak ayam penyet ekonomis dua sama es cendol 5 kak [SEP] noted kak ayam penyet ekonomis dua porsi 40 ribu sama es cendol 5 porsi 32rb, total rp 72.000",ayam penyet ekonomis & es cendol,dua & 5,-1,4
beli seporsi nasi ikan panggang penyet gak pake bawang dong kak [SEP] oke kak nasi ikan panggang penyet harganya rp38rb totalnya 38k,nasi ikan panggang penyet,seporsi,38000,1
mau 4 mie polos pedas sedang dong kak [SEP] baik kak mie polos rp9rb satuan totalnya 9k,mie polos,4,9000,3
min order roti canai susu anget aja seporsi kak [SEP] siap kak roti canai susu 22.000 per porsi total rp 22.000 ya,roti canai susu,seporsi,22000,2
mbak order chicken wing pedas sedang sebotol ya kak [SEP] chicken wing 54rb ya kak jadi rp 54.000,chicken wing,sebotol,54000,2
"chicken chili mayo seporsi bungkus dan 5 korean chicken bowl original nih [SEP] noted kak chicken chili mayo seporsi porsi 45rb sama korean chicken bowl original 5 porsi rp 26.000, total 71.000",chicken chili mayo & korean chicken bowl original,seporsi & 5,-1,4
kak order boba coklat blackforest esnya dikit aja 1 kak [SEP] oke boba coklat blackforest harga 21 ribu total rp 21.000 ya kak,boba coklat blackforest,1,21000,2
bu pesen es boba choco cheese anget aja yang harganya 48rb dua porsi kak [SEP] oke es boba choco cheese harga 48rb total 48rb ya kak,es boba choco cheese,dua,48000,2
"bu chicken katsu set 6 sama ice kopi chocolate segelas nih [SEP] noted kak chicken katsu set 6 porsi 66.000 sama ice kopi chocolate segelas porsi 39rb, total rp 105.000",chicken katsu set & ice kopi chocolate,6 & segelas,-1,4
min pesen iga penyet nasi level dewa yang harganya rp71rb setengah porsi nih [SEP] iga penyet nasi rp71rb ya kak jadi 71rb,iga penyet nasi,setengah,71000,1
mbaa pesen teh manis dingin anget aja yang hrgny 49 ribu seporsi porsi ya [SEP] noted kak teh manis dingin 49 ribu per porsi totalnya 49 ribu,teh manis dingin,seporsi,49000,3
pesen ayam penyet mininasi nya dua porsi kak [SEP] ayam penyet mininasi rp 14.000 ya kak jadi rp14rb,ayam penyet mininasi,dua,14000,2
"kak ayam penyet mini no nasi dua sama taro tiga piring [SEP] oke kak ayam penyet mini no nasi dua dan taro tiga piring, totalnya 84k",ayam penyet mini no nasi & taro,dua & tiga piring,-1,4
"mas coffee smoothies with ice cream satu bungkus, beneran 49 ribu kan ya kak [SEP] coffee smoothies with ice cream 49 ribu ya kak jadi 49rb",coffee smoothies with ice cream,satu,49000,1
8 nasi telor omahan sambal merah esnya dikit aja kak [SEP] noted kak nasi telor omahan sambal merah 73 ribu per porsi totalnya 73 ribu,nasi telor omahan sambal merah,8,73000,1
beli setengah mie kuah anget aja ya kak [SEP] mie kuah 74.000 ya kak jadi rp 74.000,mie kuah,setengah,74000,1
kak mau order 7 nasi goreng ala lina anget aja [SEP] noted kak nasi goreng ala lina 23 ribu per porsi totalnya 23 ribu,nasi goreng ala lina,7,23000,1
spesial ayam penyet gacoan 3 bungkus ya mbak [SEP] siap spesial ayam penyet gacoan 27k totalnya 27.000 kak,spesial ayam penyet gacoan,3,27000,2
pesen vegas chicken burger pedes mampus yang harganya 37 ribu segelas porsi dong kak [SEP] oke kak vegas chicken burger harganya 37 ribu totalnya 37k,vegas chicken burger,segelas,37000,2
"pesan dua mie goreng polos 5 chicken spaghetty ya kak [SEP] oke kak mie goreng polos dua dan chicken spaghetty 5, totalnya 95 ribu",mie goreng polos & chicken spaghetty,dua & 5,-1,4
kk 7 kailan ayam lada hitam makan sini dong kak [SEP] oke kailan ayam lada hitam harga 11k total 11.000 ya kak,kailan ayam lada hitam,7,11000,2
bu bisaa pesan segelas cake meses premium dibungkus dong [SEP] oke cake meses premium harga 56k total 56 rb ya kak,cake meses premium,segelas,56000,3
