input_text,product,quantity,price_satuan,pattern
bu order nasi bakar telur 5 nih [SEP] baik kak nasi bakar telur 42 ribu satuan totalnya 210 rebu,nasi bakar telur,5,42000,3
mahu 1 nasi penyetan bebek dong [SEP] oke kak nasi penyetan bebek harganya 67k totalnya 67.000,nasi penyetan bebek,1,67000,3
pesen mie kuah ayam nya 5 porsi kak [SEP] baik kak mie kuah ayam 49rb satuan totalnya rp245rb,mie kuah ayam,5,49000,1
mas order nasi goreng bscoffee 5 nih [SEP] nasi goreng bscoffee 31k ya kak jadi rp 155.000,nasi goreng bscoffee,5,31000,3
mbak es boba chocolate 2 dong kak [SEP] noke es boba chocolate harga 47.000 total 94 ribu ya kak,es boba chocolate,2,47000,3
mau soto campur telur muda jumlahnya 1 ya kak,soto campur telur muda,1,-1,2
pesan 6 susu skim segar dong kak [SEP] siap kak susu skim segar 62.000 per porsi total 372rb ya,susu skim segar,6,62000,2
min kids toys chicken burger 2 kak [SEP] oke kids toys chicken burger harga rp20rb total 40.000 ya kak,kids toys chicken burger,2,20000,2
mnt 1 teh hijau susu panas [SEP] teh hijau susu panas 70.000 ya kak jadi rp70rb,teh hijau susu panas,1,70000,3
kak mau order 7 bakso goreng kak [SEP] oke kak bakso goreng harganya 43k totalnya 301rb,bakso goreng,7,43000,1
kak bisa pesan 10 bebek goreng tanpa nasi ya [SEP] siap kak bebek goreng tanpa nasi 53k per porsi total 530k ya,bebek goreng tanpa nasi,10,53000,1
"pesen 1 mie goreng basah biasa dan 1 khaubak nasi dong kak [SEP] siap kak, mie goreng basah biasa 35 ribu dan khaubak nasi 27 ribu, jadi total rp62rb ya",mie goreng basah biasa & khaubak nasi,1 & 1,-1,4
8 ayam penyet mininasi ya [SEP] siap kak ayam penyet mininasi 42.000 per porsi ttl 336 rebu ya,ayam penyet mininasi,8,42000,3
bg order iced cheezo red velvet latte 6 [SEP] noted kak iced cheezo red velvet latte rp20rb per porsi totalnya 120k,iced cheezo red velvet latte,6,20000,1
mbak 6 kopi susu panas dong [SEP] oke kak kopi susu panas harganya 60rb totalnya 360rb,kopi susu panas,6,60000,2
"pesan nasi ayam bakar madu 3 porsi dan susu kocok boba coklat 2 porsi ya [SEP] oke kak nasi ayam bakar madu 3 dan susu kocok boba coklat 2, totalnya 110k",nasi ayam bakar madu & susu kocok boba coklat,3 & 2,-1,4
kak mau pesen 6 chipotle chicken mini nih [SEP] noted kak ditunggu ya,chipotle chicken mini,6,-1,1
beli 6 upsize nasi putih nih [SEP] siap kak upsize nasi putih rp35rb per porsi total rp 210.000 ya,upsize nasi putih,6,35000,1
9 taro latte dingin nih,taro latte dingin,9,-1,2
pesen ayam clbk dada nya 7 porsi dong kak [SEP] uke ayam clbk dada harga 22.000 total 154k ya kak,ayam clbk dada,7,22000,3
boleh ord 9 iga penyet ya [SEP] baik kak iga penyet 9k satuan totalnya 81rb,iga penyet,9,9000,3
"nasi ikan bakar 1 bungkus dan 5 chicken cordon blue kentang [SEP] noted kak nasi ikan bakar 1 porsi 10 ribu sama chicken cordon blue kentang 5 porsi rp51rb, total 265 ribu",nasi ikan bakar & chicken cordon blue kentang,1 & 5,-1,4
mau bakso jumlahnya 2 kak [SEP] baik kak,bakso,2,-1,1
pesen dimsum goreng lumpia galau nya 3 porsi kak [SEP] siap kak,dimsum goreng lumpia galau,3,-1,3
beli 5 ikan gembung bakarnasi dong kak [SEP] siyaph ikan gembung bakarnasi rp27rb totalnya rp135rb kak,ikan gembung bakarnasi,5,27000,3
mie rebus 8 bungkus ya kak [SEP] noted kak mie rebus rp27rb per porsi totalnya 216rb,mie rebus,8,27000,1
"pak bakso gepeng 2 sama tahu bakso kukus 4 ya kak [SEP] siap kak, bakso gepeng rp 41.000 dan tahu bakso kukus 65.000, jadi total rp342rb ya",bakso gepeng & tahu bakso kukus,2 & 4,-1,4
nasi gurame sambal ijo 1 bungkus ya bang [SEP] siap kak nasi gurame sambal ijo 11k per porsi total 11rb ya,nasi gurame sambal ijo,1,11000,1
