input_text,product,quantity,price_satuan,pattern
mas 5 ice melonade ya [SEP] baik kak ice melonade rp 46.000 satuan totalnya 230rb,ice melonade,5,46000,2
4 chocolatte dingin nih [SEP] oke kak chocolatte dingin harganya 68rb totalnya 272.000,chocolatte dingin,4,68000,1
bang 10 chizu taro dong kak [SEP] oke kak chizu taro harganya rp 19.000 totalnya 190 ribu,chizu taro,10,19000,1
bu nmaw pesen 5 jamur putih kulat putih dong kak [SEP] oc jamur putih kulat putih harga rp8rb total rp40rb ya kak,jamur putih kulat putih,5,8000,3
brli 1 es sucok susu coklat ya kak [SEP] ok es sucok susu coklat harg 54rb total 54rb ya kak,es sucok susu coklat,1,54000,3
8 nasi sayur perkedel nih [SEP] siap nasi sayur perkedel 11.000 totalnya 88 ribu kak,nasi sayur perkedel,8,11000,1
bang bisa pesan 2 choco hazelnut ice ya [SEP] baik kak choco hazelnut ice 9.000 satuan totalnya rp 18.000,choco hazelnut ice,2,9000,2
boleh pesan 1 daun singkong ambon segar ya [SEP] siap daun singkong ambon segar rp42rb totalnya 42k kak,daun singkong ambon segar,1,42000,2
kak mau pesen 8 kismis ya [SEP] oke kismis harga 60 ribu total rp480rb ya kak,kismis,8,60000,2
boleh pesan 2 tawar susu kak [SEP] siap kak tawar susu rp 65.000 per porsi total 130.000 ya,tawar susu,2,65000,1
mau 3 nasi non kolesterol ya [SEP] oke kak nasi non kolesterol harganya rp 37.000 totalnya rp 111.000,nasi non kolesterol,3,37000,2
mas 1 bekal mamak kak [SEP] sip kak bekal mamak harganya rp 3.000 totalnya 3k,bekal mamak,1,3000,3
minta 1 oppa kribo [SEP] siap kak oppa kribo 67.000 per porsi total 67rb ya,oppa kribo,1,67000,3
pesan 1 nasi  ayam penyet kak [SEP] siap kak nasi  ayam penyet 41k per porsi total 41k ya,nasi  ayam penyet,1,41000,2
pak bisa pesan 5 cheesy mushroom cheese burger ya [SEP] oke kak cheesy mushroom cheese burger harganya 30k totalnya rp150rb,cheesy mushroom cheese burger,5,30000,2
beli 9 nasi gembung asam pedas dong [SEP] siap kak nasi gembung asam pedas 54.000 per porsi total rp486rb ya,nasi gembung asam pedas,9,54000,2
mau 2 wajik ya [SEP] baik kak wajik rp70rb satuan totalnya 140rb,wajik,2,70000,1
kak mau pesen 8 corndog mozarella rasa taro [SEP] siap kak,corndog mozarella rasa taro,8,-1,3
boleh pesan 9 pisang goreng biasa nih [SEP] oke kak pisang goreng biasa harganya rp57rb totalnya rp513rb,pisang goreng biasa,9,57000,1
bang bisa pesan 2 my croffle rasa blueberry crunch dong kak [SEP] oke my croffle rasa blueberry crunch harga 55rb total 110rb ya kak,my croffle rasa blueberry crunch,2,55000,1
kak 1 pecay dong kak [SEP] siap kak,pecay,1,-1,1
boleh pesan 7 zegeroem coffee kak [SEP] zegeroem coffee 43rb ya kak jadi rp 301.000,zegeroem coffee,7,43000,2
bu mau pesen 10 cappucino medium ya kak [SEP] oke cappucino medium harga rp21rb total rp 210.000 ya kak,cappucino medium,10,21000,2
bu mau pesen 1 es kopi coklat dong [SEP] noted kak es kopi coklat 47 ribu per porsi totalnya 47.000,es kopi coklat,1,47000,1
2 orange sunset ya kak [SEP] baik kak orange sunset rp65rb satuan totalnya 130rb,orange sunset,2,65000,2
minta 6 crispy sushi roll dong kak [SEP] crispy sushi roll 28 ribu ya kak jadi 168 ribu,crispy sushi roll,6,28000,2
minta 9 chicken sandwich dong kak [SEP] oke siap kak,chicken sandwich,9,-1,1
5 kway teow blackpepper beef kak [SEP] oke kway teow blackpepper beef harga rp71rb total 355rb ya kak,kway teow blackpepper beef,5,71000,1
6 nasi rames nih [SEP] baik kak,nasi rames,6,-1,2
kak mau order 10 keripik ubi kak [SEP] keripik ubi 39 ribu ya kak jadi 390 ribu,keripik ubi,10,39000,2
